_id,sessionID,depot_id,stationID,vehicle_type,charger_type,timezone,connectionTime,disconnectTime,doneChargingTime,extraTime,kWhDelivered,kWhRequested,minutesAvailable,WhPerMile,BUS_CAPACITY_KWH,plug_in_soc_kwh,plug_out_soc_kwh,plug_in_soc_percent,plug_out_soc_percent,energy_met_percent
D0_R1_B0_L3_Pagoh,D0_R1_B0_L3_Pagoh,MY_PAGOH_FAST,MY_PAGOH_FAST_DC_0,BYD_K9,DC,UTC+8,2024-01-01 16:05:01.841517,2024-01-01 16:35:01.841517,2024-01-01 16:30:00,5.0306919500000005,125.0,115.0,30.0,2000,324.0,135.15,260.15,41.71,80.29,108.7
D0_R1_B1_L3_Pagoh,D0_R1_B1_L3_Pagoh,MY_PAGOH_FAST,MY_PAGOH_FAST_DC_1,BYD_K9,DC,UTC+8,2024-01-01 16:20:16.421858,2024-01-01 16:50:16.421858,2024-01-01 16:45:00,5.273697633333333,125.0,115.0,30.0,2000,324.0,137.5,262.5,42.44,81.02,108.7
D0_CAR_MODEL_A_35,D0_CAR_MODEL_A_35,MY_PAGOH_FAST,MY_PAGOH_FAST_AC_2,CAR_MODEL_A,AC,UTC+8,2024-01-01 16:31:05.306531,2024-01-01 17:17:05.306531,2024-01-01 17:10:00,7.088442183333333,8.25,7.76,46.0,300,75.0,38.94,47.19,51.92,62.92,106.33
D0_R1_B2_L3_Pagoh,D0_R1_B2_L3_Pagoh,MY_PAGOH_FAST,MY_PAGOH_FAST_DC_0,BYD_K9,DC,UTC+8,2024-01-01 16:39:23.151948,2024-01-01 17:09:23.151948,2024-01-01 17:00:00,9.3858658,125.0,115.0,30.0,2000,324.0,93.13,218.13,28.74,67.32,108.7
D0_R1_B4_L3_Pagoh,D0_R1_B4_L3_Pagoh,MY_PAGOH_FAST,MY_PAGOH_FAST_DC_3,BYD_K9,DC,UTC+8,2024-01-01 16:43:01.129258,2024-01-01 17:13:01.129258,2024-01-01 17:05:00,8.018820966666667,125.0,115.0,30.0,2000,324.0,155.65,280.65,48.04,86.62,108.7
D0_R1_B3_L3_Pagoh,D0_R1_B3_L3_Pagoh,MY_PAGOH_FAST,MY_PAGOH_FAST_DC_2,BYD_K9,DC,UTC+8,2024-01-01 16:43:04.023779,2024-01-01 17:13:04.023779,2024-01-01 17:05:00,8.067062983333333,125.0,115.0,30.0,2000,324.0,122.24,247.24,37.73,76.31,108.7
D0_R2_B2_L3_Pagoh,D0_R2_B2_L3_Pagoh,MY_PAGOH_FAST,MY_PAGOH_FAST_DC_1,BYD_K9,DC,UTC+8,2024-01-01 16:52:05.101115,2024-01-01 17:22:05.101115,2024-01-01 17:15:00,7.0850185833333335,125.0,115.0,30.0,2000,324.0,123.55,248.55,38.13,76.71,108.7
D0_R2_B3_L3_Pagoh,D0_R2_B3_L3_Pagoh,MY_PAGOH_FAST,MY_PAGOH_FAST_DC_0,BYD_K9,DC,UTC+8,2024-01-01 17:07:04.663887,2024-01-01 17:37:04.663887,2024-01-01 17:30:00,7.07773145,125.0,115.0,30.0,2000,324.0,113.23,238.23,34.95,73.53,108.7
D0_CAR_MODEL_A_28,D0_CAR_MODEL_A_28,MY_PAGOH_FAST,MY_PAGOH_FAST_AC_0,CAR_MODEL_A,AC,UTC+8,2024-01-01 17:36:44.949595,2024-01-01 18:10:44.949595,2024-01-01 18:05:00,5.749159916666667,6.42,5.73,34.0,300,75.0,8.25,14.67,11.0,19.55,111.89
D0_CAR_MODEL_B_26,D0_CAR_MODEL_B_26,MY_PAGOH_FAST,MY_PAGOH_FAST_AC_0,CAR_MODEL_B,AC,UTC+8,2024-01-01 20:52:00.927856,2024-01-01 21:23:00.927856,2024-01-01 21:15:00,8.015464266666667,3.6,3.42,31.0,300,60.0,28.71,32.31,47.85,53.85,105.19
D1_CAR_MODEL_A_12,D1_CAR_MODEL_A_12,MY_PAGOH_FAST,MY_PAGOH_FAST_AC_1,CAR_MODEL_A,AC,UTC+8,2024-01-02 08:47:03.712708,2024-01-02 09:26:03.712708,2024-01-02 09:20:00,6.061878466666667,7.33,6.58,39.0,300,75.0,40.03,47.37,53.38,63.16,111.48
D1_CAR_MODEL_A_22,D1_CAR_MODEL_A_22,MY_PAGOH_FAST,MY_PAGOH_FAST_AC_1,CAR_MODEL_A,AC,UTC+8,2024-01-02 10:17:26.206919,2024-01-02 11:13:26.206919,2024-01-02 11:05:00,8.436781983333335,10.08,9.45,56.0,300,75.0,9.03,19.12,12.05,25.49,106.75
D1_R1_B0_L1_Pagoh,D1_R1_B0_L1_Pagoh,MY_PAGOH_FAST,MY_PAGOH_FAST_DC_0,BYD_K9,DC,UTC+8,2024-01-02 10:36:32.142826,2024-01-02 11:06:32.142826,2024-01-02 11:00:00,6.5357137666666665,125.0,115.0,30.0,2000,324.0,130.86,255.86,40.39,78.97,108.7
D1_R1_B1_L1_Pagoh,D1_R1_B1_L1_Pagoh,MY_PAGOH_FAST,MY_PAGOH_FAST_DC_1,BYD_K9,DC,UTC+8,2024-01-02 10:46:17.964838,2024-01-02 11:16:17.964838,2024-01-02 11:10:00,6.299413966666666,125.0,115.0,30.0,2000,324.0,135.73,260.73,41.89,80.47,108.7
D1_R1_B2_L1_Pagoh,D1_R1_B2_L1_Pagoh,MY_PAGOH_FAST,MY_PAGOH_FAST_DC_2,BYD_K9,DC,UTC+8,2024-01-02 10:53:23.863016,2024-01-02 11:23:23.863016,2024-01-02 11:15:00,8.397716933333333,125.0,115.0,30.0,2000,324.0,131.19,256.19,40.49,79.07,108.7
D1_R1_B3_L1_Pagoh,D1_R1_B3_L1_Pagoh,MY_PAGOH_FAST,MY_PAGOH_FAST_DC_3,BYD_K9,DC,UTC+8,2024-01-02 11:16:15.147855,2024-01-02 11:46:15.147855,2024-01-02 11:40:00,6.25246425,125.0,115.0,30.0,2000,324.0,145.25,270.25,44.83,83.41,108.7
D1_R1_B4_L1_Pagoh,D1_R1_B4_L1_Pagoh,MY_PAGOH_FAST,MY_PAGOH_FAST_DC_2,BYD_K9,DC,UTC+8,2024-01-02 11:31:09.676109,2024-01-02 12:01:09.676109,2024-01-02 11:55:00,6.161268483333333,125.0,115.0,30.0,2000,324.0,124.18,249.18,38.33,76.91,108.7
D1_CAR_MODEL_A_23,D1_CAR_MODEL_A_23,MY_PAGOH_FAST,MY_PAGOH_FAST_AC_1,CAR_MODEL_A,AC,UTC+8,2024-01-02 12:13:09.424017,2024-01-02 13:09:09.424017,2024-01-02 13:00:00,9.15706695,10.08,9.45,56.0,300,75.0,33.93,44.01,45.24,58.68,106.75
D1_CAR_MODEL_A_31,D1_CAR_MODEL_A_31,MY_PAGOH_FAST,MY_PAGOH_FAST_AC_2,CAR_MODEL_A,AC,UTC+8,2024-01-02 12:47:29.498071,2024-01-02 13:42:29.498071,2024-01-02 13:35:00,7.491634516666666,10.08,9.28,55.0,300,75.0,28.64,38.73,38.19,51.64,108.7
D1_CAR_MODEL_A_8,D1_CAR_MODEL_A_8,MY_PAGOH_FAST,MY_PAGOH_FAST_AC_0,CAR_MODEL_A,AC,UTC+8,2024-01-02 15:41:07.025497,2024-01-02 16:24:07.025497,2024-01-02 16:15:00,9.117091616666666,7.33,7.25,43.0,300,75.0,30.8,38.13,41.06,50.84,101.11
D1_R1_B0_L3_Pagoh,D1_R1_B0_L3_Pagoh,MY_PAGOH_FAST,MY_PAGOH_FAST_DC_0,BYD_K9,DC,UTC+8,2024-01-02 15:59:25.288014,2024-01-02 16:29:25.288014,2024-01-02 16:20:00,9.4214669,125.0,115.0,30.0,2000,324.0,134.52,259.52,41.52,80.1,108.7
D1_R1_B1_L3_Pagoh,D1_R1_B1_L3_Pagoh,MY_PAGOH_FAST,MY_PAGOH_FAST_DC_1,BYD_K9,DC,UTC+8,2024-01-02 16:14:01.426487,2024-01-02 16:44:01.426487,2024-01-02 16:35:00,9.023774783333332,125.0,115.0,30.0,2000,324.0,99.76,224.76,30.79,69.37,108.7
